,leid0_1,leid0_2,leid0_3,leid0_4,leid0_5,leid0_6,leid0_7,leid0_8,leid0_9,leid0_10,leid0_11,leid0_12,leid0_13,leid0_14,leid0_15,leid0_16,leid0_17,leid0_18,leid0_19,leid0_20,leid0_21,leid0_22,leid0_23,leid0_24,leid0_25,leid0_26,leid0_27,leid0_28,leid0_29,leid0_30,leid0_31,leid1_1,leid1_2,leid1_3,leid1_4,leid1_5,leid1_6,leid1_7,leid1_8,leid1_9,leid1_10,leid1_11,leid1_12,leid1_13,leid1_14,leid1_15,leid1_16,leid1_17,leid1_18,leid1_19,leid1_20,leid1_21,leid1_22
FH,0.0002242174398264,0.0001017521080703,0.0009276835307704,0.0002418553333955,0.0010258675724385,0.0004596017170107,8.235725142761236e-05,0.0003292072202525,7.920213300184775e-05,7.126394329593131e-05,0.0005569671405471,0.000333974442721,0.0001310055218426,3.260331307273568e-05,0.0007771627269085,3.997932942483577e-05,0.0001395452566838,0.0001563043784896,3.770681794563914e-06,0.0,0.0005147986727847,0.0003063680892408,0.0001153292601683,0.0001475708287538,9.485712540965214e-05,5.35546231317423e-05,0.000167690192816,0.0002113022371904,0.0001710131378641,0.0001662524029851,0.0004086119533288,0.0001122955750072,0.000615902035749,0.0002357258778051,0.0006451150155421,0.000165647180447,0.0003387066865211,2.5346410853055063e-05,0.0010030343588601,0.0003761921819779,0.0004996514571455,0.000113291461956,9.79563922826337e-05,0.0003218257915323,0.000629587530439,0.0004085840571996,0.0004384271607961,0.0004562155019181,0.0004973513332415,0.0002897703766982,0.0005018797535775,0.0003440911541105,0.0002461398627809
NNT,0.0015040901992903,0.0007595737755309,0.0047592120577209,0.0019862698775594,0.0024549422646482,0.0020354068858861,0.0020197733243913,0.0030019859822984,0.0026391725912053,0.0009136679882852,0.0023785359304897,0.001928227478197,0.0016224637147242,0.0012965535978311,0.0029748943477135,0.0025475146982541,0.0027023694607884,0.0025998643341115,0.0019893203214395,0.0009249210014361,0.0018611232621176,0.0013861923306638,0.0010974067788655,0.0007002519151278,0.0008070582475417,0.0004331727759458,0.0023165510274739,0.0016958335102557,0.0010744976840487,0.000968295906546,0.0007773716807951,0.0006980975287622,0.0032583289109391,0.0015026855467001,0.0026394114697741,0.002434457452442,0.0020269430980168,0.0021463556098765,0.0040734840659878,0.0028449649431401,0.0025656216577732,0.0012966948366242,0.0023563590013745,0.0029053360130417,0.0033762008657574,0.0021790129502061,0.0023491776958866,0.0020308813063869,0.0024841882049625,0.0015113752262276,0.0026050034961347,0.0017326178199377,0.001649278029805
PDHA1,0.0009020866496626,0.0005022886605501,0.0036663103205672,0.0017221539412671,0.0022982105337311,0.0022072855472952,0.0018281272544835,0.0016420811991361,0.0006182052036563,0.0001984409812887,0.0015659897744662,0.0010002876884022,0.0005572293503207,0.0003349684851362,0.0018336001380209,0.0009110143113056,0.0008496799296267,0.0008677357424911,0.0004651008923288,0.000209847915789,0.001953668609315,0.0009939655966421,0.0006880020498485,0.0005079024971026,0.0005699860845438,0.0002994708910956,0.00139575199153,0.0014101038814911,0.0006885446997999,0.0006971630652449,0.0004258106085891,0.000516363454182,0.002351518105268,0.0011180614966185,0.0016274092983113,0.0007790499427509,0.0010194483564618,0.0005679199708013,0.0024889412765349,0.0013011402621441,0.0012290771296537,0.0004194405347545,0.0006859403118442,0.0016688364370073,0.0026933051549027,0.0010916069463126,0.001489998086676,0.0009579683273626,0.0019581729250935,0.0008213115365986,0.0016235932001576,0.0012228935168148,0.0009121032022083
NDUFV2,0.00059940343199,0.0003166627033282,0.0046139609591368,0.0016189577848008,0.0023047844748689,0.0020026225779251,0.0015041003948857,0.0030696090436582,0.0012946692243392,0.0002962287450405,0.0017974916720035,0.0008801607072595,0.0006433724303215,0.0006202591777712,0.0032664225581944,0.0032589478850216,0.0023897780753046,0.0023832485036539,0.0009066791630969,0.0002987250450556,0.0016784829342572,0.0006160195638736,0.0006865476635406,0.0002506286317531,0.0004143745461648,0.0002025577934683,0.002436258205806,0.0016801707273283,0.0005460271890884,0.0004691518410094,0.0003855522207777,0.0002191158686983,0.0029112858203118,0.0010178756621374,0.0027282650239184,0.0023584373129676,0.0012983540966113,0.001468668024962,0.0034863783161775,0.0020613023902971,0.0024198930712543,0.0006400736894635,0.0014752250356146,0.0024914414721716,0.0028137201858801,0.0012354408303674,0.0021144415408918,0.0011317894433698,0.0022981942620371,0.0003938545523917,0.0020259431203581,0.0014945411622422,0.0008207090018507
TPM3,0.0023736620163086,0.0014069402857078,0.006889881955757,0.000589809748608,0.0060910376784234,0.0126913805638935,0.0081320631359001,0.0147980584809903,0.013433150287456,0.004577959478332,0.006938163973146,0.0139863830931346,0.0088903769511244,0.0101778479657041,0.0054755781995468,0.0098033412994285,0.0079317284715333,0.006723167742091,0.0006737396950843,0.0077079115380307,0.0073821540757493,0.0116697431908868,0.0006812666995985,0.0010859006620016,0.0012933370618362,0.0080112682645809,0.0077127584042346,0.0055652876246309,0.0016997348020538,0.0063068055765912,0.000880060002209,0.0357954016825521,0.0655007519272804,0.0444033659616714,0.0543648788834627,0.0637371629588856,0.0393124105064522,0.0483522508996943,0.0766903805546428,0.0566157265898202,0.0559050265482242,0.0427160856990398,0.0608503855695916,0.0746443568651274,0.0621098124616878,0.0541644747660734,0.0638493915012883,0.0594154007957622,0.0476536099720829,0.0410354085880746,0.0427064942662145,0.0637877442552476,0.0353737731337562
PLEC,0.0004507090858051,0.0002242991867143,0.001811074840152,0.0007740598868769,0.0009864932574368,0.0008897244727346,0.0008618458488427,0.0009786495970148,0.0005835244921968,0.0001536821357385,0.0006033441366746,0.0004936950904084,0.0003574773778861,0.000358822941215,0.0009061692421243,0.0007492259642291,0.0007451380131992,0.0008266645919677,0.0005080408573367,0.000255110627035,0.0011389923676584,0.0004986198385749,0.0005508366977925,0.0002749671905487,0.0003774769044855,0.0002968013054011,0.0008999524163533,0.0008054635579551,0.0004283355913762,0.0003804882334816,0.0003311434835741,0.0002380883115791,0.0013869103913139,0.0006331300924605,0.0008434399182237,0.0007392913773646,0.0005102816069895,0.0005870427267699,0.001036517224318,0.0006937670415244,0.0007605534023506,0.0005035102893891,0.0007368521329189,0.0013805859941915,0.0014397075103207,0.0009537278095163,0.0008854556306516,0.0009373218645524,0.0008181859035483,0.0006595193419136,0.001168787180585,0.000680692991785,0.0004680959319099
SVIL,1.743580663159999e-05,9.522167267056688e-07,0.0001899687145753,4.741142980181219e-05,7.171290013417344e-05,6.9500558845436e-05,4.365947807139622e-05,7.471554343361758e-05,3.576105212048956e-05,1.2044283218092196e-05,3.900204363928424e-05,2.516673259985597e-05,9.105047137552334e-06,1.240711269269108e-05,8.639883307942818e-05,5.23273900029558e-05,4.570938811839649e-05,6.393720548493447e-05,2.824203009379994e-05,7.484375315541465e-06,0.0001010440302114,3.573379941692921e-05,4.576246507456964e-05,1.5976733164657075e-05,2.619700132474282e-05,2.202605035746663e-05,0.0001374667893523,0.0001115932510219,3.38132040733792e-05,2.832416616789956e-05,1.7954024301581612e-05,2.3496053652985416e-06,0.0001179455021117,2.6743183808446285e-05,4.987858462534919e-05,4.814078911436821e-05,2.372020926768187e-05,2.4170359335630144e-05,6.991095305174408e-05,3.2315664230947315e-05,4.258694329666506e-05,1.3408122734022526e-05,4.932322710211245e-05,8.079301155450635e-05,0.0001038829540825,5.810333796555877e-05,6.980704870401621e-05,6.426646911865286e-05,9.953332792603282e-05,3.0181081738967043e-05,0.0001335152224198,4.290724383816919e-05,4.854771799488896e-05
NEB,0.0014984344166965,0.0009626075212532,0.0090192079644519,0.0036468155599798,0.0049706177666141,0.0041826238129834,0.0037467808332184,0.0057858963307008,0.0038231164541402,0.0023340789504784,0.0044226204743793,0.0036691901195524,0.002188488769672,0.002192291138909,0.0063689882953134,0.0057286184786934,0.0055543736328564,0.0055268633590039,0.0027010757101405,0.0019208223516094,0.0058247223532632,0.0033336386516085,0.0032295123233996,0.0020907035686502,0.0025455963104526,0.0022372373104689,0.0069295703236122,0.0069894242652165,0.0031337150661693,0.0023328956143568,0.0025331262153976,0.0008972560413599,0.005971931759698,0.0022793992919488,0.0045561386920467,0.004461886794637,0.0027153431713637,0.0033971013119903,0.0065045418206533,0.0041195070377118,0.0044846320311856,0.0020022981592591,0.0041378360323182,0.0068015064519502,0.0070354701177057,0.003287860537229,0.0047465205596473,0.0034456725937581,0.005635716216568,0.0020497128990213,0.0064103585509391,0.0038744632052893,0.0028983296194433
RYR1,0.000124123216144,6.743181662856078e-05,0.0010312933760991,0.0003788946415613,0.0005804953290416,0.0005232937075711,0.0004114794404387,0.0006382247990394,0.000400852517866,0.0001357216987223,0.0004762950474175,0.0003920942554324,0.0002121444234725,0.0002168407057758,0.0007794712993248,0.0006852595880777,0.0006643823477684,0.0006424896907408,0.0002589083764107,0.0002018103823469,0.0007586740347782,0.0003948566834735,0.0003448966554408,0.0002344664766033,0.0002881870204276,0.0002503550248701,0.0008811887573175,0.000946914783643,0.0003651487405688,0.0002528979997731,0.000290289387587,4.486442190920864e-05,0.0005595173503272,0.0001618383780291,0.0004542056913608,0.0003946408780278,0.0002034255299782,0.0002533061672769,0.0005972643819987,0.0003472071905041,0.0004263551173019,0.0001064788497713,0.0004211338025726,0.0005670236920647,0.0005397641324983,0.000252778571586,0.0003979307888091,0.000345434909529,0.0009142299267883,0.0001107831402656,0.0006184000857039,0.0003329263026102,0.0003370784624523
TTN,0.0011678557024004,0.0007006391604305,0.004680192323306,0.0020687743730703,0.0027314565383709,0.0023071140867703,0.002230354695829,0.0027434551898378,0.0016411122050598,0.0008071078885376,0.0015365748020743,0.0015902164369193,0.0011363452408455,0.001203982675863,0.0027017567230164,0.0020406115729837,0.0021600161596298,0.0023713582140423,0.0012832993397263,0.0009880607389823,0.0030365318888967,0.0019759452513173,0.0019086853288069,0.0013840104204958,0.0015204029996087,0.0014505995774661,0.0035204088305115,0.0032825090153089,0.0017179714494125,0.001366098524223,0.0015050276126874,0.0006376382587696,0.0031606340134537,0.0014772125548194,0.0023312603853609,0.0019149118899045,0.0012227591202382,0.0013800739499541,0.0023692700735383,0.001553126410751,0.001820789677157,0.0010827357309704,0.0019511295495271,0.0029791586439869,0.0036292886382408,0.0020395392086271,0.002402328166117,0.0021628305537389,0.0028427626003654,0.001419331464165,0.0031621627765861,0.0020047553907577,0.0017042672270441
